# year,dir,winners_rank,path,created_by,prog,filetype,winners_show,display_via,winners_text,ext
1986,pawka,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,pawka,20,pawka.c,null,main,c,true,github,winning source,c
1986,pawka,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,pawka,50,pawka.orig.c,null,orig,c,true,github,original source,c
1986,pawka,300,1986_pawka.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,stein,null,README.md,null,null,markdown,false,null,null,md
1986,stein,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,stein,null,.winner.json,jwinner,null,json,false,null,null,json
1986,stein,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,stein,20,stein.c,null,main,c,true,github,winning source,c
1986,stein,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,stein,50,stein.orig.c,null,orig,c,true,github,original source,c
1986,stein,300,1986_stein.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,wall,null,README.md,null,null,markdown,false,null,null,md
1986,wall,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,wall,null,.winner.json,jwinner,null,json,false,null,null,json
1986,wall,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,wall,20,wall.c,null,main,c,true,github,winning source,c
1986,wall,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,wall,40,wall.alt.c,null,alt,c,true,github,alternative source,c
1986,wall,50,wall.orig.c,null,orig,c,true,github,original source,c
1986,wall,300,1986_wall.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,biggar,null,README.md,null,null,markdown,false,null,null,md
1987,biggar,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,biggar,null,.winner.json,jwinner,null,json,false,null,null,json
1987,biggar,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,biggar,20,biggar.c,null,main,c,true,github,winning source,c
1987,biggar,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,biggar,50,biggar.orig.c,null,orig,c,true,github,original source,c
1987,biggar,300,1987_biggar.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,heckbert,null,README.md,null,null,markdown,false,null,null,md
1987,heckbert,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,heckbert,null,.winner.json,jwinner,null,json,false,null,null,json
1987,heckbert,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,heckbert,20,heckbert.c,null,main,c,true,github,winning source,c
1987,heckbert,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,heckbert,50,heckbert.orig.c,null,orig,c,true,github,original source,c
1987,heckbert,300,1987_heckbert.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,hines,null,README.md,null,null,markdown,false,null,null,md
1987,hines,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,hines,null,.winner.json,jwinner,null,json,false,null,null,json
1987,hines,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,hines,20,hines.c,null,main,c,true,github,winning source,c
1987,hines,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,hines,40,hines.alt.c,null,alt,c,true,github,alternative source,c
1987,hines,50,hines.orig.c,null,orig,c,true,github,original source,c
1987,hines,300,1987_hines.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,korn,null,README.md,null,null,markdown,false,null,null,md
1987,korn,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,korn,null,.winner.json,jwinner,null,json,false,null,null,json
1987,korn,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,korn,20,korn.c,null,main,c,true,github,winning source,c
1987,korn,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,korn,50,korn.orig.c,null,orig,c,true,github,original source,c
1987,korn,300,1987_korn.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,lievaart,null,README.md,null,null,markdown,false,null,null,md
1987,lievaart,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,lievaart,null,.winner.json,jwinner,null,json,false,null,null,json
1987,lievaart,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,lievaart,20,lievaart.c,null,main,c,true,github,winning source,c
1987,lievaart,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,lievaart,40,lievaart2.alt.c,null,alt,c,true,github,alternative source,c
1987,lievaart,40,lievaart.alt.c,null,alt,c,true,github,alternative source,c
1987,lievaart,50,lievaart.orig.c,null,orig,c,true,github,original source,c
1987,lievaart,150,lievaart2.c,null,null,c,true,github,source without size restriction,c
1987,lievaart,300,1987_lievaart.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,wall,null,README.md,null,null,markdown,false,null,null,md
1987,wall,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,wall,null,.winner.json,jwinner,null,json,false,null,null,json
1987,wall,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,wall,20,wall.c,null,main,c,true,github,winning source,c
1987,wall,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,wall,50,wall.orig.c,null,orig,c,true,github,original source,c
1987,wall,300,1987_wall.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1987,westley,null,README.md,null,null,markdown,false,null,null,md
1987,westley,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1987,westley,null,.winner.json,jwinner,null,json,false,null,null,json
1987,westley,10,index.html,readme2index,null,html,true,browser,click here first,html
1987,westley,20,westley.c,null,main,c,true,github,winning source,c
1987,westley,30,Makefile,null,null,makefile,true,github,how to compile,null
1987,westley,40,westley.alt.c,null,alt,c,true,github,alternative source,c
1987,westley,50,westley.orig.c,null,orig,c,true,github,original source,c
1987,westley,300,1987_westley.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,applin,null,README.md,null,null,markdown,false,null,null,md
1988,applin,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,applin,null,.winner.json,jwinner,null,json,false,null,null,json
1988,applin,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,applin,20,applin.c,null,main,c,true,github,winning source,c
1988,applin,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,applin,40,applin.alt.c,null,alt,c,true,github,alternative source,c
1988,applin,50,applin.orig.c,null,orig,c,true,github,original source,c
1988,applin,300,1988_applin.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,dale,null,README.md,null,null,markdown,false,null,null,md
1988,dale,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,dale,null,.winner.json,jwinner,null,json,false,null,null,json
1988,dale,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,dale,20,dale.c,null,main,c,true,github,winning source,c
1988,dale,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,dale,40,dale.alt.c,null,alt,c,true,github,alternative source,c
1988,dale,50,dale.orig.c,null,orig,c,true,github,original source,c
1988,dale,300,1988_dale.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,isaak,null,README.md,null,null,markdown,false,null,null,md
1988,isaak,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,isaak,null,.winner.json,jwinner,null,json,false,null,null,json
1988,isaak,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,isaak,20,isaak.c,null,main,c,true,github,winning source,c
1988,isaak,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,isaak,40,isaak.alt.c,null,alt,c,true,github,alternative source,c
1988,isaak,50,isaak.orig.c,null,orig,c,true,github,original source,c
1988,isaak,180,isaak.encode,null,null,xxencode,true,download,uuencoded sample output,encode
1988,isaak,300,1988_isaak.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,litmaath,null,README.md,null,null,markdown,false,null,null,md
1988,litmaath,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,litmaath,null,.winner.json,jwinner,null,json,false,null,null,json
1988,litmaath,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,litmaath,20,litmaath.c,null,main,c,true,github,winning source,c
1988,litmaath,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,litmaath,40,litmaath.alt.c,null,alt,c,true,github,alternative source,c
1988,litmaath,50,litmaath.orig.c,null,orig,c,true,github,original source,c
1988,litmaath,300,1988_litmaath.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,phillipps,null,README.md,null,null,markdown,false,null,null,md
1988,phillipps,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,phillipps,null,.winner.json,jwinner,null,json,false,null,null,json
1988,phillipps,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,phillipps,20,phillipps.c,null,main,c,true,github,winning source,c
1988,phillipps,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,phillipps,50,phillipps.orig.c,null,orig,c,true,github,original source,c
1988,phillipps,300,1988_phillipps.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,reddy,null,README.md,null,null,markdown,false,null,null,md
1988,reddy,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,reddy,null,.winner.json,jwinner,null,json,false,null,null,json
1988,reddy,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,reddy,20,reddy.c,null,main,c,true,github,winning source,c
1988,reddy,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,reddy,50,reddy.orig.c,null,orig,c,true,github,original source,c
1988,reddy,300,1988_reddy.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,robison,null,README.md,null,null,markdown,false,null,null,md
1988,robison,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,robison,null,.winner.json,jwinner,null,json,false,null,null,json
1988,robison,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,robison,20,robison.c,null,main,c,true,github,winning source,c
1988,robison,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,robison,50,robison.orig.c,null,orig,c,true,github,original source,c
1988,robison,300,1988_robison.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,spinellis,null,README.md,null,null,markdown,false,null,null,md
1988,spinellis,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,spinellis,null,.winner.json,jwinner,null,json,false,null,null,json
1988,spinellis,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,spinellis,20,spinellis.c,null,main,c,true,github,winning source,c
1988,spinellis,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,spinellis,40,spinellis.alt.c,null,alt,c,true,github,alternative source,c
1988,spinellis,50,spinellis.orig.c,null,orig,c,true,github,original source,c
1988,spinellis,150,input2.txt,null,null,text,true,github,example input,txt
1988,spinellis,150,input.txt,null,null,text,true,github,example input,txt
1988,spinellis,300,1988_spinellis.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1988,westley,null,README.md,null,null,markdown,false,null,null,md
1988,westley,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1988,westley,null,.winner.json,jwinner,null,json,false,null,null,json
1988,westley,10,index.html,readme2index,null,html,true,browser,click here first,html
1988,westley,20,westley.c,null,main,c,true,github,winning source,c
1988,westley,30,Makefile,null,null,makefile,true,github,how to compile,null
1988,westley,40,westley.alt.c,null,alt,c,true,github,alternative source,c
1988,westley,50,westley.orig.c,null,orig,c,true,github,original source,c
1988,westley,300,1988_westley.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,fubar,null,README.md,null,null,markdown,false,null,null,md
1989,fubar,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,fubar,null,.winner.json,jwinner,null,json,false,null,null,json
1989,fubar,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,fubar,20,fubar.c,null,main,c,true,github,winning source,c
1989,fubar,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,fubar,50,fubar.orig.c,null,orig,c,true,github,original source,c
1989,fubar,100,fubar.sh,null,null,shellscript,true,github,how to run fubar,sh
1989,fubar,300,1989_fubar.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,jar.1,null,README.md,null,null,markdown,false,null,null,md
1989,jar.1,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,jar.1,null,.winner.json,jwinner,null,json,false,null,null,json
1989,jar.1,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,jar.1,20,jar.1.c,null,main,c,true,github,winning source,c
1989,jar.1,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,jar.1,40,jar.1.alt.c,null,alt,c,true,github,alternative source,c
1989,jar.1,50,jar.1.orig.c,null,orig,c,true,github,original source,c
1989,jar.1,150,jar.1.alt.sh,null,null,shellscript,true,github,a method to compile,sh
1989,jar.1,150,jar.1.sh,null,null,shellscript,true,github,a method to compile the alternative source,sh
1989,jar.1,300,1989_jar.1.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,jar.2,null,README.md,null,null,markdown,false,null,null,md
1989,jar.2,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,jar.2,null,.winner.json,jwinner,null,json,false,null,null,json
1989,jar.2,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,jar.2,20,jar.2.c,null,main,c,true,github,winning source,c
1989,jar.2,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,jar.2,50,jar.2.orig.c,null,orig,c,true,github,original source,c
1989,jar.2,300,1989_jar.2.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,ovdluhe,null,README.md,null,null,markdown,false,null,null,md
1989,ovdluhe,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,ovdluhe,null,.winner.json,jwinner,null,json,false,null,null,json
1989,ovdluhe,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,ovdluhe,20,ovdluhe.c,null,main,c,true,github,winning source,c
1989,ovdluhe,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,ovdluhe,40,ovdluhe.alt.c,null,alt,c,true,github,alternative source,c
1989,ovdluhe,50,ovdluhe.orig.c,null,orig,c,true,github,original source,c
1989,ovdluhe,300,1989_ovdluhe.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,paul,null,README.md,null,null,markdown,false,null,null,md
1989,paul,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,paul,null,.winner.json,jwinner,null,json,false,null,null,json
1989,paul,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,paul,20,paul.c,null,main,c,true,github,winning source,c
1989,paul,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,paul,50,paul.orig.c,null,orig,c,true,github,original source,c
1989,paul,300,1989_paul.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,robison,null,README.md,null,null,markdown,false,null,null,md
1989,robison,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,robison,null,.winner.json,jwinner,null,json,false,null,null,json
1989,robison,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,robison,20,robison.c,null,main,c,true,github,winning source,c
1989,robison,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,robison,50,robison.orig.c,null,orig,c,true,github,original source,c
1989,robison,300,1989_robison.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,roemer,null,README.md,null,null,markdown,false,null,null,md
1989,roemer,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,roemer,null,.winner.json,jwinner,null,json,false,null,null,json
1989,roemer,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,roemer,20,roemer.c,null,main,c,true,github,winning source,c
1989,roemer,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,roemer,50,roemer.orig.c,null,orig,c,true,github,original source,c
1989,roemer,300,1989_roemer.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,tromp,null,README.md,null,null,markdown,false,null,null,md
1989,tromp,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,tromp,null,.winner.json,jwinner,null,json,false,null,null,json
1989,tromp,10,index.html,readme2index,null,html,true,browser,click here first,html
