# author_handle,winner_id,winner_id,winner_id,…,,,,,,,,,,,,,,,
Sebastian_Deorowicz,1995_esde,,,,,,,,,,,,,,,,,,
Selene_Makarios,1995_heathbar,1995_makarios,,,,,,,,,,,,,,,,,
Seonghoon_Kang,2012_kang,,,,,,,,,,,,,,,,,,
Shinichiro_Hamaji,2011_hamaji,,,,,,,,,,,,,,,,,,
Sjoerd_Mullender,1984_mullender,,,,,,,,,,,,,,,,,,
Spencer_Hines,1987_hines,,,,,,,,,,,,,,,,,,
Steinar_Hamre,2006_hamre,,,,,,,,,,,,,,,,,,
Stephen_Sykes,2004_sds,2005_sykes,2006_sykes1,2006_sykes2,,,,,,,,,,,,,,,
Stig_Hemmer,1990_stig,,,,,,,,,,,,,,,,,,
Szabolcs_Borsanyi,2006_borsanyi,2011_borsanyi,,,,,,,,,,,,,,,,,
Szymon_Rusinkiewicz,1994_smr,,,,,,,,,,,,,,,,,,
Taketo_Konno,2011_konno,2012_konno,,,,,,,,,,,,,,,,,
Teemu_Rantanen,1994_tvr,,,,,,,,,,,,,,,,,,
Tero_Kivinen,1992_kivinen,,,,,,,,,,,,,,,,,,
Thaddaeus_Frogley,2000_thadgavin,,,,,,,,,,,,,,,,,,
Thomas_A_Fine,1991_fine,,,,,,,,,,,,,,,,,,
Thomas_P_John,2000_tomx,,,,,,,,,,,,,,,,,,
Thomas_Stewart,2006_stewart,,,,,,,,,,,,,,,,,,
Thor_Eldby,1996_eldby,,,,,,,,,,,,,,,,,,
Timo_Poikola,2018_poikola,2019_poikola,,,,,,,,,,,,,,,,,
Tom_Torfs,1998_tomtorfs,,,,,,,,,,,,,,,,,,
Tony_Finch,1998_fanf,,,,,,,,,,,,,,,,,,
Tsoj,2020_tsoj,,,,,,,,,,,,,,,,,,
Tsukasa_Hamano,2012_hamano,,,,,,,,,,,,,,,,,,
Uri_Goren,2011_goren,,,,,,,,,,,,,,,,,,
V_Chia,2005_chia,,,,,,,,,,,,,,,,,,
Vern_Paxson,1992_vern,,,,,,,,,,,,,,,,,,
Vincent_Weaver,2005_vince,,,,,,,,,,,,,,,,,,
Volker_Diels-Grabsch,2019_diels-grabsch1,2019_diels-grabsch2,,,,,,,,,,,,,,,,,
Walter_Bright,1986_bright,,,,,,,,,,,,,,,,,,
Yusuke_Endoh,2012_endoh1,2012_endoh2,2013_endoh1,2013_endoh2,2013_endoh3,2013_endoh4,2014_endoh1,2014_endoh2,2015_endoh1,2015_endoh2,2015_endoh3,2015_endoh4,2018_endoh1,2018_endoh2,2019_endoh,2020_endoh1,2020_endoh2,2020_endoh3,
Yves-Marie_Morgan,2013_morgan1,2013_morgan2,2014_morgan,,,,,,,,,,,,,,,,
