# year,dir,file_path,inventory_order,OK_to_edit,display_as,display_via_github,entry_text
1987,heckbert,1987_heckbert.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,heckbert,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,heckbert,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1987,heckbert,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,heckbert,.path,4000000000,false,path,true,directory path from top directory
1987,heckbert,index.html,4294967295,false,html,false,this web page
1987,hines,hines.c,20,true,c,true,entry source
1987,hines,Makefile,30,true,makefile,true,entry Makefile
1987,hines,hines.orig.c,50,false,c,true,original source
1987,hines,goto.c,100,true,c,true,sample source full of goto statements
1987,hines,goto.txt,100,true,text,false,a file to goto and see
1987,hines,try.sh,100,true,shellscript,true,script to try entry
1987,hines,1987_hines.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,hines,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,hines,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1987,hines,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,hines,.path,4000000000,false,path,true,directory path from top directory
1987,hines,index.html,4294967295,false,html,false,this web page
1987,korn,korn.c,20,true,c,true,entry source
1987,korn,Makefile,30,true,makefile,true,entry Makefile
1987,korn,korn.orig.c,50,false,c,true,original source
1987,korn,1987_korn.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,korn,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,korn,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1987,korn,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,korn,.path,4000000000,false,path,true,directory path from top directory
1987,korn,index.html,4294967295,false,html,false,this web page
1987,lievaart,lievaart.c,20,true,c,true,entry source
1987,lievaart,Makefile,30,true,makefile,true,entry Makefile
1987,lievaart,lievaart.orig.c,50,false,c,true,original source
1987,lievaart,lievaart2.c,150,true,c,true,source without size restriction
1987,lievaart,1987_lievaart.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,lievaart,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,lievaart,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1987,lievaart,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,lievaart,.path,4000000000,false,path,true,directory path from top directory
1987,lievaart,index.html,4294967295,false,html,false,this web page
1987,wall,wall.c,20,true,c,true,entry source
1987,wall,Makefile,30,true,makefile,true,entry Makefile
1987,wall,wall.orig.c,50,true,c,true,original source
1987,wall,try.sh,100,true,shellscript,true,script to try entry
1987,wall,1987_wall.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,wall,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,wall,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
