# -1,All other cells (excluding year+winners_rank+winners_show) are JSON strings that must not contain commas NOR quotes NOR newlines.,,,,,,,,,
# -2,The year cells must be JSON numbers.  The winners_rank cells must be a JSON number or JSON null.  The winners_show cells must be JSON booleans.,,,,,,,,,
# -3,Empty cells are filled in with red and need to be filled in and are TBD.,,,,,,,,,
# -4,Any cell containing null is a JSON null value. Any cell containing true or false is a JSON boolean value.,,,,,,,,,
# year,dir,winners_rank,path,created_by,prog,filetype,ext,winners_show,display_via,winners_text
1989,jar.2,300,1989_jar.2.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,ovdluhe,null,.winner.json,jwinner,null,json,json,false,null,null
1989,ovdluhe,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,ovdluhe,300,1989_ovdluhe.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,paul,null,.winner.json,jwinner,null,json,json,false,null,null
1989,paul,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,paul,300,1989_paul.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,robison,null,.winner.json,jwinner,null,json,json,false,null,null
1989,robison,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,robison,300,1989_robison.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,roemer,null,.winner.json,jwinner,null,json,json,false,null,null
1989,roemer,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,roemer,300,1989_roemer.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,tromp,null,.winner.json,jwinner,null,json,json,false,null,null
1989,tromp,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,tromp,300,1989_tromp.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,vanb,null,.winner.json,jwinner,null,json,json,false,null,null
1989,vanb,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,vanb,300,1989_vanb.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1989,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,westley,300,1989_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,baruch,null,.winner.json,jwinner,null,json,json,false,null,null
1990,baruch,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,baruch,300,1990_baruch.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,cmills,null,.winner.json,jwinner,null,json,json,false,null,null
1990,cmills,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,cmills,300,1990_cmills.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,dds,null,.winner.json,jwinner,null,json,json,false,null,null
1990,dds,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,dds,300,1990_dds.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,dg,null,.winner.json,jwinner,null,json,json,false,null,null
1990,dg,10,index.html,readme2index,null,html,html,true,browser,click here first
1990,dg,300,1990_dg.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1990,jaw,null,.winner.json,jwinner,null,json,json,false,null,null
1990,jaw,10,index.html,readme2index,null,html,html,true,browser,click here first
