# year,dir,title,abstract
2004,gavin,gavin.2004,Mini-OS
2004,hibachi,hibachi.2004,A CGI capable HTTP server
2004,hoyle,hoyle.2004,Curses based polynomial graphing with auto-scale
2004,jdalbec,jdalbec.2004,Conway's look'n'say sequence split into elements
2004,kopczynski,kopczynski.2004,OCR of 8 or 9 or 10 or 11
2004,newbern,newbern.2004,Renders arbitary bitmapped fonts
2004,omoikane,omoikane.2004,A CRC inserter
2004,schnitzi,schnitzi.2004,Editor animation
2004,sds,sds.2004,Space/tab/linefeed steganography
2004,vik1,vik1.2004,X Windows car racing game
2004,vik2,vik2.2004,Calculates prime numbers using only CPP
2005,aidan,aidan.2005,Sudoku solver
2005,anon,anon.2005,Multi-dimensional sliding tile puzzle generator
2005,boutines,boutines.2005,Voronoi diagram generator
2005,chia,chia.2005,Java parody
2005,giljade,giljade.2005,2D sliding tile puzzle solver
2005,jetro,jetro.2005,Audio synthesizer
2005,klausler,klausler.2005,Anagram generator
2005,mikeash,mikeash.2005,Self-printing Common Lisp interpreter
2005,mynx,mynx.2005,Web browser
2005,persano,persano.2005,Generates animated knots
2005,sykes,sykes.2005,Commodore PET emulator
2005,timwi,timwi.2005,A BF lanaguage interpreter
2005,toledo,toledo.2005,Play chess
2005,vik,vik.2005,Wolfenstein style graphics engine
2005,vince,vince.2005,Rotating GL Cube demo
2006,birken,birken.2006,Circuit Simulator
2006,borsanyi,borsanyi.2006,Email address to gif image
2006,grothe,grothe.2006,Plays audio using a monitor
2006,hamre,hamre.2006,A calculator for rational numbers
2006,meyer,meyer.2006,A two player sudoku like game
2006,monge,monge.2006,Graphical fractal generator
2006,night,night.2006,A maze game
2006,sloane,sloane.2006,Animated donut
2006,stewart,stewart.2006,IFS fractal generator
2006,sykes1,sykes1.2006,Bedlam cube solver
2006,sykes2,sykes2.2006,A clock in one line
2006,toledo1,toledo1.2006,Solve the knight chess problem
2006,toledo2,toledo2.2006,An 8080 emulator
2006,toledo3,toledo3.2006,An X11 chess game
2011,akari,akari.2011,Downsampler with 3 embeded programs
2011,blakely,blakely.2011,Life/reverse life
2011,borsanyi,borsanyi.2011,Bar graph plotter
2011,dlowe,dlowe.2011,Neural network classifier
2011,eastman,eastman.2011,Bouncing Ball in ANSI Graphics
2011,fredriksson,fredriksson.2011,Aproximate grep
2011,goren,goren.2011,Magritte tribute
